Million_Plus_Cities,Age_band_of_driver,Accident_severity,Cause_of_accident,Vehicle Type Involved,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Latitude,Longitude,Time_Block
Allahabad(Prayagraj),18-30,High Risk,Changing lane to the right,Car,Rainy,Village Road,Normal,Dark,20.5937,78.9629,Morning
Allahabad(Prayagraj),18-30,High Risk,Changing lane to the right,Car,Rainy,State Highway,Normal,Dark,20.5937,78.9629,Morning
Allahabad(Prayagraj),18-30,Medium Risk,Changing lane to the right,Auto-Rickshaw,Rainy,State Highway,Wet,Dawn,20.5937,78.9629,Night
Allahabad(Prayagraj),18-30,Medium Risk,Moving Backward,Auto-Rickshaw,Clear,Highways,Normal,Dawn,20.5937,78.9629,Morning
Gwalior,31-50,Low Risk,No distancing,Cycle,Clear,Highways,Normal,Dark,20.5937,78.9629,Evening
Varanasi,18-30,Low Risk,Overspeed,Car,Clear,Highways,Normal,Daylight,25.3176,82.9739,Morning
Allahabad(Prayagraj),18-30,High Risk,No distancing,Auto-Rickshaw,Rainy,Urban Road,Dry,Daylight,20.5937,78.9629,Morning
Allahabad(Prayagraj),18-30,High Risk,Driving carelessly,Two-Wheeler,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Allahabad(Prayagraj),50+,Medium Risk,No distancing,Car,Clear,Highways,Normal,Daylight,20.5937,78.9629,Evening
Allahabad(Prayagraj),50+,Low Risk,No distancing,Cycle,Rainy,Highways,Normal,Dawn,20.5937,78.9629,Night
Allahabad(Prayagraj),18-30,Medium Risk,No distancing,Pedestrian,Clear,Highways,Normal,Daylight,20.5937,78.9629,Morning
Allahabad(Prayagraj),18-30,Medium Risk,Changing lane to the right,Auto-Rickshaw,Stormy,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Allahabad(Prayagraj),18-30,Low Risk,No distancing,Bus,Clear,Highways,Normal,Daylight,20.5937,78.9629,Morning
Allahabad(Prayagraj),31-50,Medium Risk,No priority to vehicle,Pedestrian,Clear,Highways,Normal,Dawn,20.5937,78.9629,Afternoon
Allahabad(Prayagraj),18-30,High Risk,Changing lane to the left,Two-Wheeler,Clear,Village Road,Under Construction,Daylight,20.5937,78.9629,Night
Allahabad(Prayagraj),18-30,High Risk,Moving Backward,Truck,Foggy,Village Road,Damaged,Daylight,20.5937,78.9629,Afternoon
Allahabad(Prayagraj),18-30,High Risk,Driving carelessly,Car,Foggy,State Highway,Wet,Dawn,20.5937,78.9629,Afternoon
Allahabad(Prayagraj),18-30,High Risk,Changing lane to the left,Pedestrian,Stormy,Highways,Normal,Dusk,20.5937,78.9629,Afternoon
Allahabad(Prayagraj),18-30,High Risk,No priority to pedestrian,Two-Wheeler,Hazy,Village Road,Wet,Dusk,20.5937,78.9629,Night
Allahabad(Prayagraj),31-50,High Risk,No distancing,Car,Clear,Urban Road,Dry,Dark,20.5937,78.9629,Evening
Allahabad(Prayagraj),18-30,Low Risk,No distancing,Two-Wheeler,Clear,Highways,Normal,Dark,20.5937,78.9629,Night
Allahabad(Prayagraj),31-50,Low Risk,Overturning,Car,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Allahabad(Prayagraj),31-50,Low Risk,No distancing,Car,Clear,Highways,Normal,Dawn,20.5937,78.9629,Evening
Amritsar,18-30,High Risk,Drunk driving,Car,Rainy,Urban Road,Wet,Daylight,20.5937,78.9629,Afternoon
Amritsar,18-30,High Risk,Moving Backward,Cycle,Hazy,Village Road,Damaged,Dusk,20.5937,78.9629,Night
Amritsar,18-30,High Risk,No priority to pedestrian,Bus,Stormy,Highways,Normal,Dark,20.5937,78.9629,Afternoon
Amritsar,18-30,High Risk,Changing lane to the left,Cycle,Foggy,Village Road,Under Construction,Daylight,20.5937,78.9629,Night
Amritsar,18-30,High Risk,Changing lane to the left,Auto-Rickshaw,Clear,Village Road,Damaged,Daylight,20.5937,78.9629,Morning
Amritsar,18-30,High Risk,Getting off the vehicle improperly,Auto-Rickshaw,Clear,Urban Road,Dry,Dawn,20.5937,78.9629,Night
Amritsar,18-30,High Risk,No distancing,Auto-Rickshaw,Rainy,Urban Road,Damaged,Daylight,20.5937,78.9629,Night
Amritsar,18-30,High Risk,Changing lane to the right,Two-Wheeler,Clear,Urban Road,Under Construction,Daylight,20.5937,78.9629,Night
Amritsar,18-30,High Risk,Changing lane to the right,Pedestrian,Clear,Village Road,Damaged,Daylight,20.5937,78.9629,Night
Bhopal,18-30,Low Risk,Moving Backward,Bus,Clear,Highways,Normal,Daylight,20.5937,78.9629,Evening
Ghaziabad,31-50,Low Risk,Driving at high speed,Cycle,Stormy,Highways,Normal,Dark,20.5937,78.9629,Morning
Amritsar,18-30,High Risk,Changing lane to the left,Two-Wheeler,Clear,National Highway,Dry,Dark,20.5937,78.9629,Afternoon
Amritsar,18-30,High Risk,Changing lane to the right,Auto-Rickshaw,Hazy,Village Road,Under Construction,Daylight,20.5937,78.9629,Night
Amritsar,50+,High Risk,No distancing,Two-Wheeler,Clear,National Highway,Under Construction,Daylight,20.5937,78.9629,Afternoon
Kochi,18-30,Medium Risk,Changing lane to the right,Truck,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Mumbai,18-30,Low Risk,Changing lane to the right,Two-Wheeler,Stormy,Highways,Normal,Daylight,19.076,72.8777,Night
Amritsar,18-30,Medium Risk,No distancing,Car,Clear,State Highway,Damaged,Daylight,20.5937,78.9629,Evening
Amritsar,31-50,Medium Risk,Changing lane to the right,Pedestrian,Foggy,State Highway,Wet,Dawn,20.5937,78.9629,Night
Amritsar,18-30,Medium Risk,Driving carelessly,Pedestrian,Clear,Village Road,Normal,Daylight,20.5937,78.9629,Morning
Amritsar,50+,Low Risk,Driving carelessly,Car,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Coimbatore,18-30,Medium Risk,Changing lane to the right,Car,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Night
Mumbai,18-30,Low Risk,Overturning,Cycle,Clear,Highways,Normal,Daylight,19.076,72.8777,Afternoon
Amritsar,18-30,High Risk,Changing lane to the right,Auto-Rickshaw,Hazy,National Highway,Damaged,Daylight,20.5937,78.9629,Night
Amritsar,18-30,Low Risk,Moving Backward,Car,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Amritsar,50+,High Risk,No distancing,Two-Wheeler,Clear,Village Road,Dry,Daylight,20.5937,78.9629,Night
Amritsar,31-50,High Risk,Overturning,Cycle,Clear,State Highway,Wet,Dawn,20.5937,78.9629,Morning
Amritsar,50+,High Risk,Driving carelessly,Bus,Rainy,State Highway,Under Construction,Daylight,20.5937,78.9629,Evening
Amritsar,31-50,High Risk,Changing lane to the right,Pedestrian,Foggy,Village Road,Wet,Dusk,20.5937,78.9629,Afternoon
Amritsar,31-50,High Risk,Driving at high speed,Two-Wheeler,Clear,State Highway,Wet,Daylight,20.5937,78.9629,Afternoon
Amritsar,18-30,High Risk,Changing lane to the left,Truck,Clear,State Highway,Normal,Dusk,20.5937,78.9629,Afternoon
Amritsar,18-30,High Risk,Driving carelessly,Two-Wheeler,Clear,Urban Road,Damaged,Dark,20.5937,78.9629,Night
Amritsar,18-30,High Risk,No distancing,Pedestrian,Clear,State Highway,Damaged,Daylight,20.5937,78.9629,Night
Amritsar,18-30,High Risk,Moving Backward,Pedestrian,Foggy,Village Road,Dry,Dusk,20.5937,78.9629,Evening
Jabalpur,18-30,Low Risk,No priority to pedestrian,Cycle,Clear,Highways,Normal,Dawn,20.5937,78.9629,Morning
Amritsar,31-50,High Risk,Moving Backward,Bus,Foggy,Urban Road,Damaged,Dark,20.5937,78.9629,Night
Amritsar,31-50,Low Risk,Changing lane to the right,Car,Foggy,Highways,Normal,Dawn,20.5937,78.9629,Afternoon
Amritsar,18-30,High Risk,No distancing,Car,Clear,National Highway,Wet,Dawn,20.5937,78.9629,Afternoon
Amritsar,18-30,High Risk,Drunk driving,Truck,Hazy,Urban Road,Dry,Dusk,20.5937,78.9629,Morning
Amritsar,31-50,High Risk,Changing lane to the right,Cycle,Stormy,State Highway,Damaged,Daylight,20.5937,78.9629,Morning
Amritsar,31-50,High Risk,Driving carelessly,Auto-Rickshaw,Clear,Urban Road,Under Construction,Daylight,20.5937,78.9629,Night
Asansol Durgapur,50+,High Risk,Driving to the left,Cycle,Clear,Village Road,Damaged,Daylight,20.5937,78.9629,Night
Asansol Durgapur,31-50,High Risk,Changing lane to the right,Two-Wheeler,Clear,State Highway,Damaged,Daylight,20.5937,78.9629,Evening
Asansol Durgapur,18-30,High Risk,Changing lane to the right,Pedestrian,Foggy,Urban Road,Damaged,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Low Risk,Driving carelessly,Cycle,Stormy,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Asansol Durgapur,18-30,High Risk,Changing lane to the left,Auto-Rickshaw,Stormy,State Highway,Under Construction,Dark,20.5937,78.9629,Morning
Asansol Durgapur,18-30,Low Risk,No priority to vehicle,Pedestrian,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Asansol Durgapur,31-50,High Risk,Driving carelessly,Cycle,Clear,Urban Road,Wet,Dusk,20.5937,78.9629,Evening
Kota,31-50,Low Risk,Changing lane to the right,Bus,Foggy,Highways,Normal,Dawn,20.5937,78.9629,Night
Asansol Durgapur,31-50,High Risk,Driving carelessly,Car,Rainy,State Highway,Wet,Dusk,20.5937,78.9629,Afternoon
Asansol Durgapur,31-50,High Risk,Driving under the influence of drugs,Auto-Rickshaw,Rainy,Village Road,Dry,Daylight,20.5937,78.9629,Morning
Asansol Durgapur,31-50,High Risk,No distancing,Cycle,Clear,Village Road,Under Construction,Dawn,20.5937,78.9629,Night
Asansol Durgapur,18-30,Low Risk,Changing lane to the left,Car,Clear,Highways,Normal,Dark,20.5937,78.9629,Morning
Asansol Durgapur,31-50,Medium Risk,No priority to vehicle,Car,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Asansol Durgapur,18-30,High Risk,Moving Backward,Pedestrian,Clear,Urban Road,Wet,Daylight,20.5937,78.9629,Afternoon
Jabalpur,31-50,Low Risk,Moving Backward,Two-Wheeler,Stormy,Highways,Normal,Dawn,20.5937,78.9629,Morning
Asansol Durgapur,50+,Medium Risk,No distancing,Pedestrian,Hazy,State Highway,Wet,Dawn,20.5937,78.9629,Night
Surat,18-30,Medium Risk,Changing lane to the right,Two-Wheeler,Rainy,Highways,Normal,Dusk,21.1702,72.8311,Night
Asansol Durgapur,31-50,High Risk,Changing lane to the right,Car,Clear,National Highway,Damaged,Dusk,20.5937,78.9629,Morning
Asansol Durgapur,18-30,High Risk,Moving Backward,Truck,Clear,Village Road,Under Construction,Dusk,20.5937,78.9629,Night
Asansol Durgapur,31-50,Low Risk,Driving carelessly,Cycle,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,Low Risk,Driving under the influence of drugs,Cycle,Hazy,Highways,Normal,Dawn,20.5937,78.9629,Morning
Asansol Durgapur,18-30,Medium Risk,No distancing,Car,Clear,Urban Road,Normal,Daylight,20.5937,78.9629,Evening
Asansol Durgapur,31-50,High Risk,No distancing,Two-Wheeler,Hazy,Highways,Normal,Daylight,20.5937,78.9629,Evening
Asansol Durgapur,18-30,High Risk,No priority to vehicle,Two-Wheeler,Stormy,Urban Road,Damaged,Dawn,20.5937,78.9629,Evening
Asansol Durgapur,18-30,High Risk,Driving to the left,Cycle,Clear,Highways,Normal,Daylight,20.5937,78.9629,Evening
Ahmedabad,18-30,Medium Risk,No priority to vehicle,Truck,Clear,Highways,Normal,Dark,23.0225,72.5714,Night
Asansol Durgapur,31-50,High Risk,No priority to vehicle,Pedestrian,Clear,Urban Road,Damaged,Dark,20.5937,78.9629,Morning
Hyderabad,18-30,Low Risk,No priority to vehicle,Cycle,Rainy,Highways,Normal,Dark,17.385,78.4867,Afternoon
Asansol Durgapur,18-30,Low Risk,No distancing,Cycle,Stormy,Highways,Normal,Daylight,20.5937,78.9629,Night
Asansol Durgapur,18-30,High Risk,Moving Backward,Pedestrian,Clear,State Highway,Under Construction,Dark,20.5937,78.9629,Night
Asansol Durgapur,18-30,High Risk,Changing lane to the right,Truck,Hazy,Urban Road,Under Construction,Dusk,20.5937,78.9629,Night
Srinagar,18-30,Low Risk,Driving carelessly,Auto-Rickshaw,Hazy,Highways,Normal,Dark,20.5937,78.9629,Night
Asansol Durgapur,18-30,High Risk,Changing lane to the left,Two-Wheeler,Rainy,State Highway,Dry,Dark,20.5937,78.9629,Morning
Thiruvanthapuram,18-30,Medium Risk,No distancing,Auto-Rickshaw,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Asansol Durgapur,50+,High Risk,Changing lane to the right,Car,Hazy,National Highway,Under Construction,Dawn,20.5937,78.9629,Evening
Asansol Durgapur,31-50,Medium Risk,Driving under the influence of drugs,Cycle,Clear,Highways,Normal,Dawn,20.5937,78.9629,Afternoon
Asansol Durgapur,18-30,High Risk,No distancing,Pedestrian,Clear,Highways,Normal,Dusk,20.5937,78.9629,Evening
Asansol Durgapur,31-50,High Risk,Overturning,Auto-Rickshaw,Foggy,Village Road,Damaged,Daylight,20.5937,78.9629,Evening
Asansol Durgapur,18-30,Low Risk,No distancing,Two-Wheeler,Clear,Highways,Normal,Dusk,20.5937,78.9629,Afternoon
Asansol Durgapur,18-30,Medium Risk,Changing lane to the right,Cycle,Clear,Urban Road,Dry,Dusk,20.5937,78.9629,Morning
Vizaq,18-30,Medium Risk,No priority to vehicle,Car,Hazy,Highways,Normal,Dawn,20.5937,78.9629,Night
Aurangabad,18-30,Medium Risk,Changing lane to the right,Auto-Rickshaw,Rainy,Village Road,Under Construction,Dusk,20.5937,78.9629,Night
Aurangabad,18-30,Medium Risk,Changing lane to the left,Pedestrian,Clear,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Aurangabad,50+,High Risk,No distancing,Pedestrian,Clear,Urban Road,Dry,Daylight,20.5937,78.9629,Morning
Aurangabad,18-30,High Risk,No priority to pedestrian,Pedestrian,Stormy,Urban Road,Wet,Dark,20.5937,78.9629,Night
Indore,18-30,Low Risk,Driving carelessly,Car,Foggy,Highways,Normal,Dark,20.5937,78.9629,Morning
Aurangabad,18-30,Low Risk,No distancing,Cycle,Clear,Highways,Normal,Dusk,20.5937,78.9629,Evening
Aurangabad,18-30,High Risk,Driving carelessly,Auto-Rickshaw,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Night
Coimbatore,31-50,Low Risk,Driving carelessly,Cycle,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Aurangabad,18-30,High Risk,Moving Backward,Bus,Foggy,National Highway,Dry,Daylight,20.5937,78.9629,Afternoon
Aurangabad,18-30,Low Risk,Overtaking,Auto-Rickshaw,Hazy,Highways,Normal,Dark,20.5937,78.9629,Night
Aurangabad,18-30,High Risk,No priority to vehicle,Bus,Clear,State Highway,Wet,Dusk,20.5937,78.9629,Evening
Aurangabad,18-30,High Risk,No priority to vehicle,Cycle,Clear,National Highway,Damaged,Dawn,20.5937,78.9629,Morning
Aurangabad,18-30,High Risk,Changing lane to the left,Pedestrian,Rainy,State Highway,Dry,Dawn,20.5937,78.9629,Night
Aurangabad,31-50,Low Risk,No priority to vehicle,Pedestrian,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Aurangabad,31-50,High Risk,No distancing,Pedestrian,Clear,Urban Road,Dry,Dusk,20.5937,78.9629,Night
Khozikode,18-30,Low Risk,Moving Backward,Two-Wheeler,Hazy,Highways,Normal,Dawn,20.5937,78.9629,Evening
Aurangabad,50+,High Risk,Changing lane to the right,Cycle,Rainy,State Highway,Wet,Daylight,20.5937,78.9629,Night
Faridabad,18-30,Medium Risk,No distancing,Two-Wheeler,Clear,Highways,Normal,Daylight,20.5937,78.9629,Morning
Aurangabad,31-50,High Risk,Overtaking,Cycle,Clear,Village Road,Wet,Daylight,20.5937,78.9629,Evening
Aurangabad,18-30,High Risk,No distancing,Bus,Clear,State Highway,Normal,Daylight,20.5937,78.9629,Evening
Aurangabad,18-30,Medium Risk,Changing lane to the left,Two-Wheeler,Clear,Highways,Normal,Dark,20.5937,78.9629,Morning
Aurangabad,50+,Low Risk,Driving under the influence of drugs,Car,Clear,Highways,Normal,Dusk,20.5937,78.9629,Morning
Aurangabad,31-50,High Risk,No distancing,Auto-Rickshaw,Stormy,Village Road,Wet,Daylight,20.5937,78.9629,Night
Aurangabad,18-30,Medium Risk,No distancing,Truck,Clear,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Aurangabad,18-30,High Risk,Changing lane to the right,Cycle,Clear,Village Road,Damaged,Daylight,20.5937,78.9629,Afternoon
Aurangabad,18-30,Medium Risk,Changing lane to the left,Cycle,Clear,Village Road,Wet,Daylight,20.5937,78.9629,Afternoon
Aurangabad,18-30,Medium Risk,Moving Backward,Auto-Rickshaw,Rainy,State Highway,Under Construction,Dawn,20.5937,78.9629,Night
Aurangabad,18-30,High Risk,No distancing,Cycle,Rainy,State Highway,Damaged,Dark,20.5937,78.9629,Night
Aurangabad,18-30,High Risk,No distancing,Truck,Clear,State Highway,Dry,Daylight,20.5937,78.9629,Afternoon
Aurangabad,18-30,High Risk,Driving carelessly,Bus,Clear,Highways,Normal,Dark,20.5937,78.9629,Evening
Aurangabad,18-30,High Risk,Moving Backward,Truck,Clear,State Highway,Normal,Daylight,20.5937,78.9629,Night
Aurangabad,18-30,High Risk,No distancing,Pedestrian,Foggy,State Highway,Wet,Daylight,20.5937,78.9629,Afternoon
Aurangabad,50+,High Risk,Changing lane to the right,Bus,Clear,Village Road,Dry,Daylight,20.5937,78.9629,Night
Aurangabad,31-50,High Risk,Driving carelessly,Cycle,Clear,National Highway,Under Construction,Daylight,20.5937,78.9629,Night
Aurangabad,18-30,High Risk,Driving to the left,Bus,Rainy,State Highway,Dry,Dusk,20.5937,78.9629,Night
Aurangabad,18-30,High Risk,Changing lane to the right,Bus,Clear,Village Road,Damaged,Daylight,20.5937,78.9629,Afternoon
Aurangabad,18-30,Medium Risk,Driving carelessly,Car,Stormy,Urban Road,Dry,Daylight,20.5937,78.9629,Morning
Aurangabad,31-50,Medium Risk,Changing lane to the right,Car,Rainy,Highways,Normal,Dusk,20.5937,78.9629,Morning
Aurangabad,50+,Medium Risk,No priority to vehicle,Bus,Clear,Highways,Normal,Dusk,20.5937,78.9629,Evening
Nagpur,18-30,Low Risk,Changing lane to the right,Car,Clear,Highways,Normal,Dusk,20.5937,78.9629,Night
Bengaluru,18-30,High Risk,Turnover,Car,Rainy,Urban Road,Under Construction,Dark,12.9716,77.5946,Afternoon
Bengaluru,18-30,Medium Risk,No priority to vehicle,Auto-Rickshaw,Hazy,Highways,Normal,Dark,12.9716,77.5946,Evening
Bengaluru,31-50,Low Risk,Driving at high speed,Pedestrian,Hazy,Highways,Normal,Daylight,12.9716,77.5946,Afternoon
Bengaluru,50+,High Risk,No distancing,Car,Clear,Urban Road,Dry,Dawn,12.9716,77.5946,Morning
Bengaluru,18-30,High Risk,No distancing,Pedestrian,Clear,State Highway,Under Construction,Dusk,12.9716,77.5946,Morning
Bengaluru,18-30,High Risk,Driving carelessly,Cycle,Clear,Highways,Normal,Dark,12.9716,77.5946,Afternoon
Bengaluru,18-30,Medium Risk,Driving carelessly,Auto-Rickshaw,Hazy,Highways,Normal,Daylight,12.9716,77.5946,Night
Bengaluru,18-30,High Risk,Moving Backward,Auto-Rickshaw,Hazy,Urban Road,Wet,Dark,12.9716,77.5946,Night
Bengaluru,50+,High Risk,No distancing,Cycle,Clear,Urban Road,Under Construction,Daylight,12.9716,77.5946,Morning
Bengaluru,18-30,High Risk,Changing lane to the right,Cycle,Clear,Urban Road,Dry,Daylight,12.9716,77.5946,Morning
Bengaluru,18-30,High Risk,Overtaking,Car,Clear,Urban Road,Dry,Dark,12.9716,77.5946,Evening
Bengaluru,18-30,High Risk,No distancing,Auto-Rickshaw,Rainy,Urban Road,Dry,Dark,12.9716,77.5946,Morning
Bengaluru,18-30,High Risk,Overtaking,Two-Wheeler,Foggy,National Highway,Wet,Dark,12.9716,77.5946,Morning
Mallapuram,18-30,Low Risk,Moving Backward,Car,Clear,Highways,Normal,Dusk,20.5937,78.9629,Night
Bengaluru,18-30,Low Risk,No distancing,Cycle,Clear,Highways,Normal,Dawn,12.9716,77.5946,Afternoon
Bengaluru,18-30,High Risk,No distancing,Bus,Foggy,Urban Road,Damaged,Daylight,12.9716,77.5946,Morning
Bengaluru,18-30,High Risk,No priority to vehicle,Car,Clear,Urban Road,Damaged,Dusk,12.9716,77.5946,Afternoon
Bengaluru,18-30,High Risk,No priority to vehicle,Car,Stormy,Urban Road,Wet,Dusk,12.9716,77.5946,Morning
Bengaluru,31-50,High Risk,Changing lane to the left,Bus,Rainy,Highways,Normal,Dusk,12.9716,77.5946,Morning
Bengaluru,18-30,High Risk,No distancing,Pedestrian,Foggy,National Highway,Under Construction,Dark,12.9716,77.5946,Evening
Bengaluru,31-50,High Risk,Driving under the influence of drugs,Car,Foggy,National Highway,Dry,Dark,12.9716,77.5946,Night
Bengaluru,50+,High Risk,Changing lane to the left,Pedestrian,Foggy,Urban Road,Normal,Dark,12.9716,77.5946,Night
Bengaluru,50+,High Risk,Changing lane to the right,Cycle,Hazy,Village Road,Damaged,Dark,12.9716,77.5946,Afternoon
Bengaluru,18-30,High Risk,Driving to the left,Truck,Rainy,Urban Road,Normal,Dawn,12.9716,77.5946,Night
Bengaluru,31-50,High Risk,Driving at high speed,Two-Wheeler,Stormy,Urban Road,Under Construction,Dawn,12.9716,77.5946,Morning
Meerut,18-30,Low Risk,Overtaking,Pedestrian,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Night
Bengaluru,31-50,Medium Risk,Changing lane to the right,Auto-Rickshaw,Clear,Highways,Normal,Daylight,12.9716,77.5946,Morning
Bengaluru,18-30,Low Risk,Changing lane to the right,Car,Stormy,Highways,Normal,Daylight,12.9716,77.5946,Afternoon
Bengaluru,18-30,High Risk,Moving Backward,Bus,Clear,Village Road,Damaged,Dark,12.9716,77.5946,Morning
Khozikode,18-30,Low Risk,Moving Backward,Two-Wheeler,Clear,Highways,Normal,Dusk,20.5937,78.9629,Night
Bengaluru,18-30,Medium Risk,Changing lane to the left,Auto-Rickshaw,Clear,Highways,Normal,Dark,12.9716,77.5946,Night
Bengaluru,18-30,Medium Risk,Moving Backward,Two-Wheeler,Clear,Highways,Normal,Daylight,12.9716,77.5946,Afternoon
Vizaq,18-30,Low Risk,No distancing,Pedestrian,Stormy,Highways,Normal,Dusk,20.5937,78.9629,Evening
Bengaluru,18-30,Medium Risk,Moving Backward,Car,Clear,Urban Road,Wet,Dawn,12.9716,77.5946,Afternoon
Bengaluru,18-30,Medium Risk,Changing lane to the right,Cycle,Clear,National Highway,Damaged,Daylight,12.9716,77.5946,Evening
Bengaluru,18-30,Medium Risk,Changing lane to the left,Truck,Stormy,National Highway,Dry,Daylight,12.9716,77.5946,Night
Bengaluru,18-30,High Risk,No priority to vehicle,Car,Clear,National Highway,Dry,Daylight,12.9716,77.5946,Morning
Bengaluru,18-30,High Risk,No distancing,Car,Stormy,Urban Road,Under Construction,Daylight,12.9716,77.5946,Evening
Bengaluru,18-30,High Risk,No priority to vehicle,Car,Rainy,Village Road,Normal,Dawn,12.9716,77.5946,Night
Bhopal,18-30,High Risk,Driving under the influence of drugs,Pedestrian,Hazy,Urban Road,Under Construction,Dusk,20.5937,78.9629,Morning
Bhopal,31-50,High Risk,Changing lane to the right,Auto-Rickshaw,Foggy,Urban Road,Damaged,Daylight,20.5937,78.9629,Morning
Bhopal,31-50,Low Risk,No distancing,Truck,Hazy,Highways,Normal,Dark,20.5937,78.9629,Morning
Jabalpur,18-30,Medium Risk,No distancing,Car,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Night
Bhopal,50+,High Risk,Changing lane to the left,Auto-Rickshaw,Clear,Village Road,Dry,Dusk,20.5937,78.9629,Night
Bhopal,31-50,Low Risk,Changing lane to the right,Cycle,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Kota,18-30,Low Risk,Changing lane to the right,Auto-Rickshaw,Hazy,Highways,Normal,Dark,20.5937,78.9629,Evening
Bhopal,50+,High Risk,Driving under the influence of drugs,Car,Rainy,Urban Road,Under Construction,Dawn,20.5937,78.9629,Morning
Bhopal,31-50,High Risk,Moving Backward,Bus,Rainy,Village Road,Damaged,Dusk,20.5937,78.9629,Night
Bhopal,31-50,Low Risk,Changing lane to the left,Auto-Rickshaw,Clear,Highways,Normal,Dusk,20.5937,78.9629,Evening
Bhopal,18-30,Medium Risk,No priority to pedestrian,Cycle,Hazy,Urban Road,Damaged,Daylight,20.5937,78.9629,Afternoon
Bhopal,18-30,Low Risk,No distancing,Car,Hazy,Highways,Normal,Dawn,20.5937,78.9629,Night
Bhopal,50+,Low Risk,No distancing,Two-Wheeler,Clear,Highways,Normal,Daylight,20.5937,78.9629,Evening
Bhopal,18-30,High Risk,Changing lane to the left,Two-Wheeler,Clear,National Highway,Normal,Dawn,20.5937,78.9629,Night
Bhopal,18-30,Medium Risk,Changing lane to the right,Auto-Rickshaw,Clear,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Bhopal,18-30,High Risk,Driving carelessly,Pedestrian,Foggy,State Highway,Damaged,Daylight,20.5937,78.9629,Night
Bhopal,18-30,Medium Risk,No distancing,Car,Hazy,Village Road,Damaged,Dawn,20.5937,78.9629,Night
Bhopal,18-30,Medium Risk,Changing lane to the left,Bus,Clear,National Highway,Dry,Dark,20.5937,78.9629,Evening
Bhopal,18-30,Medium Risk,Moving Backward,Pedestrian,Clear,National Highway,Wet,Daylight,20.5937,78.9629,Morning
Bhopal,18-30,High Risk,No distancing,Bus,Foggy,Village Road,Damaged,Dark,20.5937,78.9629,Night
Bhopal,18-30,High Risk,No priority to pedestrian,Car,Foggy,National Highway,Under Construction,Dawn,20.5937,78.9629,Afternoon
Bhopal,18-30,High Risk,Changing lane to the left,Cycle,Stormy,National Highway,Dry,Dusk,20.5937,78.9629,Night
Bhopal,18-30,Medium Risk,No distancing,Truck,Clear,Highways,Normal,Dusk,20.5937,78.9629,Afternoon
Bhopal,18-30,High Risk,Driving carelessly,Cycle,Hazy,State Highway,Under Construction,Dark,20.5937,78.9629,Night
Bhopal,50+,High Risk,No priority to vehicle,Two-Wheeler,Clear,National Highway,Dry,Daylight,20.5937,78.9629,Evening
Bhopal,31-50,High Risk,Changing lane to the right,Bus,Clear,Village Road,Damaged,Dusk,20.5937,78.9629,Afternoon
Bhopal,18-30,High Risk,Moving Backward,Car,Clear,Village Road,Wet,Dusk,20.5937,78.9629,Morning
Bhopal,31-50,High Risk,No priority to vehicle,Auto-Rickshaw,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Bhopal,18-30,Low Risk,No priority to pedestrian,Two-Wheeler,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Bhopal,31-50,Medium Risk,Changing lane to the left,Truck,Clear,State Highway,Wet,Dusk,20.5937,78.9629,Afternoon
Bhopal,31-50,Low Risk,Changing lane to the left,Two-Wheeler,Hazy,Highways,Normal,Daylight,20.5937,78.9629,Night
Bhopal,18-30,High Risk,Driving under the influence of drugs,Car,Stormy,Urban Road,Under Construction,Dark,20.5937,78.9629,Evening
Bhopal,18-30,High Risk,Moving Backward,Truck,Clear,Village Road,Normal,Dusk,20.5937,78.9629,Night
Bhopal,31-50,High Risk,Changing lane to the right,Two-Wheeler,Stormy,State Highway,Under Construction,Dusk,20.5937,78.9629,Night
Bhopal,18-30,High Risk,Changing lane to the right,Two-Wheeler,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Evening
